DATE,COM,COM_MM,COM_YY,OPEN,HIGH,LOW,CLOSE,SETTLE,VOLUME,OINT,SERIES
20220622,BZF  ,12,2022,0,0,0,0,1099.03,0,0,BZFZ22
20220622,BZF  ,01,2023,0,0,0,0,1075.36,0,0,BZFF23
20220622,BZF  ,02,2023,0,0,0,0,1058.03,0,0,BZFG23
20220622,BZF  ,03,2023,0,0,0,0,1042.03,0,0,BZFH23
20220622,BZF  ,04,2023,0,0,0,0,1032.36,0,0,BZFJ23
20220622,BZF  ,05,2023,0,0,0,0,1022.7,0,0,BZFK23
20220622,BZF  ,06,2023,0,0,0,0,1013.7,0,0,BZFM23
20220622,BZF  ,07,2023,0,0,0,0,1004.7,0,0,BZFN23
20220622,BZF  ,08,2023,0,0,0,0,995.7,0,0,BZFQ23
20220622,BZF  ,09,2023,0,0,0,0,987.36,0,0,BZFU23
20220622,BZF  ,10,2023,0,0,0,0,979.03,0,0,BZFV23
20220622,BZF  ,11,2023,0,0,0,0,970.7,0,0,BZFX23
20220622,BZF  ,12,2023,0,0,0,0,962.36,0,0,BZFZ23
20220622,BZF  ,01,2024,0,0,0,0,954.03,0,0,BZFF24
20220622,BZF  ,02,2024,0,0,0,0,945.7,0,0,BZFG24
20220622,BZF  ,03,2024,0,0,0,0,937.36,0,0,BZFH24
20220622,BZF  ,04,2024,0,0,0,0,929.03,0,0,BZFJ24
20220622,BZF  ,05,2024,0,0,0,0,920.7,0,0,BZFK24
20220622,BZNF ,06,2022,0,0,0,0,519.43,0,7,BZNFM22
20220622,BZNF ,07,2022,0,0,0,0,438.19,0,0,BZNFN22
20220622,BZNF ,08,2022,0,0,0,0,409.92,0,0,BZNFQ22
20220622,BZNF ,09,2022,0,0,0,0,382.16,0,0,BZNFU22
20220622,BZNF ,10,2022,0,0,0,0,355.59,0,30,BZNFV22
20220622,BZNF ,11,2022,0,0,0,0,332.86,0,30,BZNFX22
20220622,BZNF ,12,2022,0,0,0,0,326.4,0,30,BZNFZ22
20220622,BZNF ,01,2023,0,0,0,0,308.23,0,0,BZNFF23
20220622,BZNF ,02,2023,0,0,0,0,298.9,0,0,BZNFG23
20220622,BZNF ,03,2023,0,0,0,0,291.53,0,0,BZNFH23
20220622,BZNF ,04,2023,0,0,0,0,291.23,0,0,BZNFJ23
20220622,BZNF ,05,2023,0,0,0,0,290.95,0,0,BZNFK23
20220622,BZNF ,06,2023,0,0,0,0,290.82,0,0,BZNFM23
20220622,BZNF ,07,2023,0,0,0,0,290.07,0,0,BZNFN23
20220622,BZNF ,08,2023,0,0,0,0,288.7,0,0,BZNFQ23
20220622,BZNF ,09,2023,0,0,0,0,287.36,0,0,BZNFU23
20220622,BZNF ,10,2023,0,0,0,0,285.9,0,0,BZNFV23
20220622,BZNF ,11,2023,0,0,0,0,284.57,0,0,BZNFX23
20220622,BZNF ,12,2023,0,0,0,0,283.23,0,0,BZNFZ23
20220622,BZNF ,01,2024,0,0,0,0,281.9,0,0,BZNFF24
20220622,BZNF ,02,2024,0,0,0,0,280.7,0,0,BZNFG24
20220622,BZNF ,03,2024,0,0,0,0,279.23,0,0,BZNFH24
20220622,BZNF ,04,2024,0,0,0,0,277.53,0,0,BZNFJ24
20220622,BZNF ,05,2024,0,0,0,0,275.07,0,0,BZNFK24
20220622,C5F  ,06,2022,0,0,0,0,0,35,1960,C5FM22
20220622,C5F  ,07,2022,0,0,0,0,0,200,1130,C5FN22
20220622,C5F  ,08,2022,0,0,0,0,0,35,695,C5FQ22
20220622,C5F  ,09,2022,0,0,0,0,0,0,480,C5FU22
